30000 3992
1 2 2128
1 12001 751
1 12002 9366
1 12003 5238
1 12004 5955
1 12005 5023
1 12006 2648
1 12007 6143
1 12008 3527
1 12009 1809
1 12010 2330
1 12011 8007
1 12012 1142
1 12013 6836
1 12014 4603
1 12015 6475
1 12016 7754
1 12017 7455
1 12018 4446
1 12019 4742
1 12020 5174
1 12021 797
1 12022 7331
1 12023 3921
1 12024 7424
1 12025 2617
1 12026 4329
1 12027 5861
1 12028 6480
1 12029 6239
1 12030 9889
1 12031 5240
1 12032 1994
1 12033 3327
1 12034 828
1 12035 9326
1 12036 6610
1 12037 6041
1 12038 5480
1 12039 3383
1 12040 9482
1 12041 4003
1 12042 260
1 12043 1511
1 12044 4530
1 12045 6771
1 12046 7205
1 12047 2187
1 12048 8939
1 12049 891
1 12050 4810
1 12051 2121
1 12052 3624
1 12053 2908
1 12054 7420
1 12055 3616
1 12056 7901
1 12057 7034
1 12058 437
1 12059 9642
1 12060 9763
1 12061 8569
1 12062 7836
1 12063 9504
1 12064 1659
1 12065 5654
1 12066 2109
1 12067 8095
1 12068 7853
1 12069 246
1 12070 2204
1 12071 2192
1 12072 4588
1 12073 2075
1 12074 2302
1 12075 9683
1 12076 3913
1 12077 1926
1 12078 9358
1 12079 8674
1 12080 4623
1 12081 2723
1 12082 1797
1 12083 4288
1 12084 3540
1 12085 4950
1 12086 2149
1 12087 362
1 12088 1361
1 12089 9175
1 12090 2771
1 12091 8354
1 12092 4123
1 12093 3379
1 12094 1176
1 12095 6720
1 12096 3973
1 12097 2427
1 12098 1715
1 12099 4476
1 12100 1596
1 12101 5344
1 12102 964
1 12103 7897
1 12104 3460
1 12105 1875
1 12106 7480
1 12107 5679
1 12108 6545
1 12109 2670
1 12110 7025
1 12111 2961
1 12112 9060
1 12113 9899
1 12114 648
1 12115 6993
1 12116 9465
1 12117 2896
1 12118 8955
1 12119 3538
1 12120 6822
1 12121 2543
1 12122 5386
1 12123 3542
1 12124 56
1 12125 8144
1 12126 6442
1 12127 8174
1 12128 9145
1 12129 5593
1 12130 3429
1 12131 8723
1 12132 2853
1 12133 9788
1 12134 2594
1 12135 279
1 12136 3064
1 12137 2828
1 12138 8953
1 12139 6528
1 12140 7362
1 12141 1771
1 12142 8011
1 12143 5223
1 12144 1395
1 12145 2500
1 12146 6942
1 12147 5012
1 12148 8268
1 12149 2497
1 12150 5424
1 12151 606
1 12152 9460
1 12153 1019
1 12154 2316
1 12155 675
1 12156 8874
1 12157 5773
1 12158 2671
1 12159 504
1 12160 8968
1 12161 7590
1 12162 4114
1 12163 5690
1 12164 5671
1 12165 1555
1 12166 9144
1 12167 4875
1 12168 4335
1 12169 9659
1 12170 7691
1 12171 6136
1 12172 1238
1 12173 3075
1 12174 4231
1 12175 2741
1 12176 7406
1 12177 9858
1 12178 70
1 12179 8358
1 12180 2635
1 12181 5705
1 12182 6378
1 12183 5698
1 12184 1865
1 12185 7182
1 12186 6036
1 12187 8469
1 12188 3986
1 12189 8290
1 12190 6858
1 12191 4709
1 12192 892
1 12193 402
1 12194 3093
1 12195 2724
1 12196 3018
1 12197 3530
1 12198 5918
1 12199 8620
1 12200 6488
1 12201 7154
1 12202 7751
1 12203 3815
1 12204 9203
1 12205 649
1 12206 276
1 12207 8406
1 12208 3387
1 12209 463
1 12210 2735
1 12211 7424
1 12212 6501
1 12213 7617
1 12214 7716
1 12215 1989
1 12216 6560
1 12217 3498
1 12218 4839
1 12219 2305
1 12220 9295
1 12221 9668
1 12222 4369
1 12223 1874
1 12224 8749
1 12225 3941
1 12226 8090
1 12227 7407
1 12228 1534
1 12229 3041
1 12230 4574
1 12231 8748
1 12232 8448
1 12233 966
1 12234 9508
1 12235 9149
1 12236 7131
1 12237 9943
1 12238 3671
1 12239 1700
1 12240 8654
1 12241 650
1 12242 4978
1 12243 9391
1 12244 9051
1 12245 7881
1 12246 5192
1 12247 4491
1 12248 487
1 12249 6333
1 12250 1076
1 12251 8643
1 12252 9087
1 12253 7907
1 12254 6066
1 12255 379
1 12256 4874
1 12257 3847
1 12258 8721
1 12259 2143
1 12260 6158
1 12261 8133
1 12262 2162
1 12263 4665
1 12264 4048
1 12265 4316
1 12266 4554
1 12267 1426
1 12268 4660
1 12269 2892
1 12270 6237
1 12271 9960
1 12272 920
1 12273 4145
1 12274 5541
1 12275 4720
1 12276 8410
1 12277 555
1 12278 2335
1 12279 4316
1 12280 3843
1 12281 1784
1 12282 9758
1 12283 3381
1 12284 7428
1 12285 6579
1 12286 4775
1 12287 7082
1 12288 8423
1 12289 5623
1 12290 9141
1 12291 71
1 12292 6297
1 12293 8005
1 12294 4495
1 12295 5117
1 12296 5699
1 12297 41
1 12298 1327
1 12299 5219
1 12300 1703
1 12301 9276
1 12302 6237
1 12303 216
1 12304 5250
1 12305 6637
1 12306 2975
1 12307 5132
1 12308 2526
1 12309 9247
1 12310 2856
1 12311 9872
1 12312 4673
1 12313 1697
1 12314 9956
1 12315 1094
1 12316 1279
1 12317 4068
1 12318 3735
1 12319 8001
1 12320 3233
1 12321 4568
1 12322 7555
1 12323 7881
1 12324 1472
1 12325 504
1 12326 82
1 12327 4724
1 12328 9545
1 12329 8696
1 12330 2494
1 12331 7557
1 12332 3376
1 12333 9659
1 12334 3000
1 12335 4069
1 12336 8764
1 12337 5215
1 12338 6226
1 12339 218
1 12340 8735
1 12341 6564
1 12342 7875
1 12343 9811
1 12344 5177
1 12345 762
1 12346 3009
1 12347 3432
1 12348 8929
1 12349 1560
1 12350 2873
1 12351 2885
1 12352 6295
1 12353 1101
1 12354 3196
1 12355 8559
1 12356 9270
1 12357 1440
1 12358 6826
1 12359 2137
