200 10000
31 78 684
152 160 702
166 40 116
2 123 651
104 156 930
196 48 510
4 80 251
145 133 35
6 34 211
186 147 196
16 76 799
163 58 10
159 122 239
139 196 363
82 8 972
195 152 231
42 32 356
71 97 339
44 130 89
196 180 175
46 171 89
199 129 518
137 131 598
170 122 986
164 143 579
141 131 643
95 180 246
74 70 835
35 72 714
60 194 809
45 107 360
116 119 27
126 7 382
112 58 902
90 89 325
165 164 736
113 35 245
181 163 297
37 7 17
52 15 432
160 146 197
9 118 763
149 25 543
114 35 509
71 70 88
83 139 101
161 160 886
8 182 302
157 165 515
140 51 65
172 91 750
181 31 541
115 130 897
168 12 841
87 100 634
73 6 158
55 176 719
146 145 793
119 200 606
94 74 97
19 56 179
107 146 877
61 3 232
34 35 950
182 36 911
107 19 934
153 156 198
54 9 393
112 96 660
43 133 198
18 127 782
17 161 949
131 29 500
114 4 897
56 22 866
49 148 852
84 99 572
165 55 395
136 107 431
60 148 300
93 183 328
165 72 449
101 43 569
148 78 800
52 18 480
187 59 754
165 147 640
188 83 353
98 133 172
34 183 390
5 90 13
83 110 564
65 9 988
39 116 309
148 137 790
128 83 471
82 166 444
149 33 116
50 120 92
188 171 124
64 126 793
76 12 659
3 37 818
135 27 93
147 143 79
59 165 280
135 148 277
120 23 610
181 150 484
56 200 65
79 3 357
38 84 917
9 86 15
124 51 673
86 73 398
56 120 806
51 104 535
153 12 766
81 26 445
65 133 464
51 169 173
15 119 3
166 31 923
126 41 25
150 134 252
75 151 923
128 94 554
36 88 899
79 121 744
19 85 582
161 60 912
88 34 879
35 161 913
37 32 626
104 185 923
35 55 10
198 3 103
156 100 312
21 130 671
168 182 193
174 92 66
19 190 45
31 69 963
44 114 182
32 22 409
170 194 136
116 200 121
186 153 906
45 54 376
161 174 616
20 133 680
29 121 765
158 76 693
138 17 537
86 96 481
29 44 168
89 43 310
163 94 591
79 193 509
135 163 589
92 145 758
150 158 683
23 41 644
90 73 725
119 171 565
173 154 238
39 2 547
73 91 975
91 96 613
166 157 556
120 10 72
27 36 853
12 152 216
152 6 587
109 184 463
23 190 794
148 14 239
59 99 380
13 159 945
118 162 390
11 173 599
127 112 18
111 174 60
48 176 276
77 35 987
155 135 72
124 70 81
200 45 984
16 46 354
31 47 508
159 54 103
193 38 389
143 48 87
91 66 388
166 67 587
33 151 656
191 157 339
93 65 596
28 149 769
13 162 549
156 4 452
115 85 408
88 35 428
199 85 806
124 14 183
91 114 834
64 74 281
157 91 643
78 181 120
59 143 387
48 110 22
93 145 263
33 91 980
34 82 817
6 139 493
103 55 313
157 78 118
168 82 49
88 56 27
129 108 997
182 17 551
83 160 143
186 179 799
146 148 566
184 53 846
42 75 586
196 199 547
136 71 157
19 117 338
191 6 46
34 27 28
56 180 238
134 34 68
29 60 424
192 143 823
29 17 269
164 144 177
127 146 433
108 34 571
106 195 102
102 42 746
76 182 936
197 29 611
88 73 122
148 91 64
80 117 90
162 6 943
47 164 987
39 142 803
91 162 68
139 100 354
13 139 889
7 53 561
175 117 675
10 33 528
127 178 842
95 128 648
94 198 788
52 172 759
86 37 423
12 22 418
102 143 436
156 77 507
31 78 164
141 136 524
61 11 720
199 190 589
91 187 765
161 39 816
192 98 785
184 144 168
18 88 402
10 130 429
125 80 130
119 114 741
39 132 258
107 114 588
167 11 712
100 179 641
156 1 343
124 73 433
121 185 651
177 145 441
106 137 270
133 58 302
25 74 837
172 6 301
157 59 48
138 34 391
143 95 947
169 2 418
10 17 53
13 15 217
114 197 493
118 20 109
74 81 475
179 190 612
45 150 114
56 135 312
112 133 886
190 154 779
102 86 350
92 186 134
34 43 72
25 86 388
175 66 433
159 91 15
103 113 805
43 13 222
164 32 173
63 56 41
64 177 829
182 17 957
42 176 864
174 20 251
126 32 617
143 102 23
171 142 201
26 59 909
188 89 79
172 38 8
101 38 100
56 192 132
144 54 287
143 136 559
198 120 79
176 118 555
107 147 828
88 175 308
115 3 42
83 132 30
52 59 256
8 158 310
21 138 166
113 87 763
20 195 471
26 10 430
53 92 148
67 71 988
168 77 102
96 115 950
28 188 318
39 81 347
40 99 352
12 170 371
40 198 678
200 45 225
36 60 79
175 16 947
49 37 813
43 144 839
41 177 343
133 162 566
122 31 93
87 65 642
109 5 965
189 178 217
123 184 834
26 193 570
109 81 418
105 157 874
15 107 814
104 107 943
139 53 594
130 174 500
113 16 882
